Corrida,M_porcentaje,M_num,Performance_train,Size_tree,Num_leaves,Prof_Tree,Performance_test,Noise_Percentage
7,0.35,0.35,75.9095378564405,141,180,9,76.4089121887287,4
8,0.4,0.4,76.204523107178,166,209,9,76.0157273918742,4
9,0.45,0.45,77.5811209439528,245,311,9,75.7536041939712,4
10,0.5,0.5,79.0888233366109,351,443,9,75.4914809960681,4
1,0.05,0.05,71.0586692887578,5,8,3,75.7536041939712,5
2,0.1,0.1,71.0586692887578,5,8,3,75.7536041939712,5
3,0.15,0.15,72.4352671255326,22,30,5,76.1467889908257,5
4,0.2,0.2,73.4841035725992,48,68,8,76.2778505897772,5
5,0.25,0.25,73.6152081284825,52,75,10,76.0157273918742,5
6,0.3,0.3,74.6968207145198,93,125,10,74.7051114023591,5
7,0.35,0.35,75.1229105211406,109,146,10,75.0982961992136,5
8,0.4,0.4,75.7456571615864,153,200,10,74.8361730013106,5
9,0.45,0.45,75.7784333005572,153,200,10,74.8361730013106,5
10,0.5,0.5,78.4333005571944,361,468,11,72.7391874180865,5
1,0.05,0.05,70.9603408718453,5,8,3,75.7536041939712,6
2,0.1,0.1,70.9603408718453,5,8,3,75.7536041939712,6
3,0.15,0.15,70.9603408718453,5,8,3,75.7536041939712,6
4,0.2,0.2,72.2713864306785,25,34,6,76.1467889908257,6
5,0.25,0.25,73.2218944608325,59,78,7,76.0157273918742,6
6,0.3,0.3,74.1068502130449,91,122,10,75.3604193971166,6
7,0.35,0.35,75.5162241887906,164,212,10,74.8361730013106,6
8,0.4,0.4,75.7128810226155,180,232,10,74.5740498034076,6
9,0.45,0.45,76.1389708292363,202,262,10,74.4429882044561,6
10,0.5,0.5,76.7944936086529,252,322,10,74.5740498034076,6
1,0.05,0.05,71.1569977056703,6,10,4,75.7536041939712,7
2,0.1,0.1,71.1569977056703,6,10,4,75.7536041939712,7
3,0.15,0.15,71.1569977056703,6,10,4,75.7536041939712,7
4,0.2,0.2,73.4185512946575,50,71,8,76.9331585845347,7
5,0.25,0.25,74.1724024909866,71,101,10,76.6710353866317,7
6,0.3,0.3,74.4018354637824,87,122,10,76.8020969855832,7
7,0.35,0.35,74.5657161586365,98,135,10,76.8020969855832,7
8,0.4,0.4,75.2867912159948,139,186,10,76.6710353866317,7
9,0.45,0.45,75.9423139954113,177,238,10,75.7536041939712,7
10,0.5,0.5,78.2366437233694,368,473,10,73.2634338138925,7
1,0.05,0.05,69.6820714519829,5,8,3,75.7536041939712,8
2,0.1,0.1,69.6820714519829,5,8,3,75.7536041939712,8
3,0.15,0.15,70.8620124549328,33,43,7,74.5740498034076,8
4,0.2,0.2,73.12356604392,80,109,7,74.0498034076016,8
5,0.25,0.25,74.0412979351032,119,161,8,74.1808650065531,8
6,0.3,0.3,74.9590298262865,149,206,8,74.1808650065531,8
7,0.35,0.35,75.1556866601114,164,224,8,74.1808650065531,8
8,0.4,0.4,75.7784333005572,194,262,8,72.870249017038,8
9,0.45,0.45,76.958374303507,261,351,8,72.608125819135,8
10,0.5,0.5,77.8105539167486,333,440,8,73.132372214941,8
1,0.05,0.05,69.8787282858079,5,8,3,75.7536041939712,9
2,0.1,0.1,69.8787282858079,5,8,3,75.7536041939712,9
3,0.15,0.15,69.8787282858079,5,8,3,75.7536041939712,9
4,0.2,0.2,69.8787282858079,5,8,3,75.7536041939712,9
5,0.25,0.25,72.7302523762701,73,103,8,75.6225425950197,9
6,0.3,0.3,73.8118649623074,118,159,8,75.0982961992136,9
7,0.35,0.35,75.0245821042281,172,231,8,74.0498034076016,9
8,0.4,0.4,75.811209439528,216,292,9,73.7876802096986,9
9,0.45,0.45,77.745001638807,332,441,11,73.2634338138925,9
10,0.5,0.5,77.9088823336611,340,456,11,72.7391874180865,9
1,0.05,0.05,68.9282202556539,5,8,3,75.7536041939712,10
2,0.1,0.1,68.9282202556539,5,8,3,75.7536041939712,10
3,0.15,0.15,68.9282202556539,5,8,3,75.7536041939712,10
4,0.2,0.2,71.9108489019993,68,95,8,75.3604193971166,10
5,0.25,0.25,73.1563421828909,105,145,8,74.0498034076016,10
6,0.3,0.3,73.320222877745,119,161,8,74.3119266055046,10
7,0.35,0.35,74.467387741724,155,210,8,72.4770642201835,10
8,0.4,0.4,74.5657161586365,169,226,8,72.083879423329,10
9,0.45,0.45,76.2372992461488,256,344,8,70.7732634338139,10
10,0.5,0.5,76.7617174696821,302,402,8,70.7732634338139,10
1,0.05,0.05,68.8626679777122,5,8,3,75.7536041939712,11
2,0.1,0.1,68.8626679777122,5,8,3,75.7536041939712,11
3,0.15,0.15,68.8626679777122,5,8,3,75.7536041939712,11
4,0.2,0.2,68.8626679777122,5,8,3,75.7536041939712,11
5,0.25,0.25,71.5175352343494,65,91,8,76.1467889908257,11
